,PC1,PC2
sample_0,-61.710594191369836,53.69340680063437
sample_1,-67.68722057949832,61.125123163524556
sample_2,-69.50954010570221,60.90120861293377
sample_3,-61.728520089948525,53.76866809543176
sample_4,-64.66298189278979,57.23128394204851
sample_5,-62.96376561573873,53.2411764507596
sample_6,-67.46812614412872,57.80059605149915
sample_7,-65.81252753141085,54.10066584053601
sample_8,-62.251487287120774,51.595759799048736
sample_9,-64.18651581076212,52.756306787052935
sample_10,-66.19182749630343,54.65589965042388
sample_11,-64.30507586260663,52.92469643245803
sample_12,-62.14175481519187,50.096189003833814
sample_13,-62.99809268399817,51.22497312248244
sample_14,-59.168356208713455,46.742120284583294
sample_15,-66.96251691933631,53.23475595657402
sample_16,-64.38865647091141,50.049488747212465
sample_17,-62.9883664291336,47.056546390177125
sample_18,-71.82478737432382,53.0862552256081
sample_19,-61.12567653476712,43.38004454745237
sample_20,-61.855087327452665,44.576318867997536
sample_21,-65.71073333669666,47.045279970849556
sample_22,-64.06763508934007,45.1137358221126
sample_23,-67.23326479470342,45.60169128079689
sample_24,-67.14443134657566,44.69036301459625
sample_25,-64.38368944696163,43.45608927040892
sample_26,-65.23285220781703,42.52919705675163
sample_27,-66.23105134160699,41.10741576239279
sample_28,-64.0499416755225,39.623298554761675
sample_29,-64.54347436894787,37.557714792263155
sample_30,-62.63890464841278,36.528853910133556
sample_31,-61.1398407764079,34.11493956902239
sample_32,-66.73990724535915,35.8362622310442
sample_33,-66.47433172982693,35.30591492262077
sample_34,-64.92239737951469,33.59461479660637
sample_35,-71.67121172701586,35.86845458579904
sample_36,-60.77427130385725,28.353274487853447
sample_37,-63.081012450710496,28.41160461205717
sample_38,-67.73681357833755,28.399438892710815
sample_39,-60.11313705894326,23.989079062102583
sample_40,-63.49368011422101,23.238511745264802
sample_41,-56.15691521443567,18.90250777013743
sample_42,-54.9518638547605,15.733036086125303
sample_43,-66.77743689067891,20.353676217816574
sample_44,-60.11690224609232,17.52658289121424
sample_45,-55.247042477527735,10.725016248155825
sample_46,-58.59879519610104,10.888667296701254
sample_47,-53.660994560363775,8.128765693196852
sample_48,-53.2926739563267,6.994121681939424
sample_49,-54.309972802003465,5.673225766946882
sample_50,-54.791539531429876,2.3795609352430276
sample_51,-55.530828763052014,0.9288717091750329
sample_52,-48.12307921345386,-0.7931768510077127
sample_53,-55.26272216061123,-0.8551172468611783
sample_54,-50.78599543424384,-5.366320234550459
sample_55,-46.61409297253117,-7.83441570571617
sample_56,-49.12900161372245,-10.833557868111031
sample_57,-50.21998496508731,-11.974218725086823
sample_58,-49.482811737668676,-12.553789643753786
sample_59,-45.47860159778901,-14.860084301658677
sample_60,-45.30653702341321,-15.292703840143385
sample_61,-42.87412589389843,-17.288954611092556
sample_62,-41.19850610809837,-21.328459122513152
sample_63,-41.3505366281149,-22.548280082816202
sample_64,-41.805656196057946,-24.18797233319647
sample_65,-36.62977066340516,-25.78580345085527
sample_66,-39.2286242801174,-28.092151886975945
sample_67,-35.10296997184346,-28.432663186471558
sample_68,-35.25332021157585,-31.244477723258353
sample_69,-38.64048766812889,-39.88553214638006
sample_70,-31.116688524597837,-34.29148009616247
sample_71,-33.374108229214585,-33.252494260853396
sample_72,-30.753750415429707,-34.406024971810425
sample_73,-31.54180160050044,-39.293150583253436
sample_74,-29.664135282251376,-39.425247915197076
sample_75,-27.816257600942553,-45.74257464166585
sample_76,-25.99151886915688,-41.828017343224225
sample_77,-25.286418105698125,-43.161087543017175
sample_78,-27.83466013983011,-53.23548694810026
sample_79,-22.52281638645668,-47.237664074933264
sample_80,-23.760442512713208,-50.65007133515312
sample_81,-22.21237098050203,-51.89559468607922
sample_82,-21.726927398523923,-52.52374528375653
sample_83,-19.442788527157347,-53.183956470403515
sample_84,-18.3298780508517,-54.01321343089662
sample_85,-16.637685574279452,-52.147672575030704
sample_86,-16.513963407982907,-54.50915467178713
sample_87,-16.348590229596105,-61.57722724233814
sample_88,-14.056478738409277,-59.45508858220486
sample_89,-19.612369222743062,-98.12018773905979
sample_90,-11.355293710065743,-60.97810217068653
sample_91,-9.823478846203557,-53.112813645722156
sample_92,-9.495528212858282,-62.455230207215486
sample_93,-8.44063769246133,-62.226424551302564
sample_94,-8.10994932938681,-65.51866812172965
sample_95,-5.028429509343343,-64.6255235252945
sample_96,-3.3171119096068313,-64.12279661322485
sample_97,-2.2886718081028143,-62.213131301992675
sample_98,-1.961226065915328,-62.945081503362104
sample_99,-0.7868008560946721,-62.356594170064696
sample_100,0.4940768744511945,-61.71207288524371
sample_101,2.261694614793974,-70.3371506318968
sample_102,2.6040459161396585,-60.978328653886656
sample_103,4.381129739075194,-65.40573811475447
sample_104,5.519085551247896,-64.00758620430436
sample_105,5.27092729014658,-60.00482466862621
sample_106,6.867129469140182,-64.5023495084906
sample_107,8.10691280447635,-62.336709258088284
sample_108,10.115864461075516,-56.92432459054964
sample_109,11.157652196819477,-58.14801367477673
sample_110,13.553846516638572,-59.37084630717104
sample_111,15.026224697200483,-61.7124365319602
sample_112,15.722614516604175,-56.551108027733804
sample_113,17.679171142241103,-59.097202757795934
sample_114,17.374307683874292,-58.05333257232102
sample_115,19.329592659823223,-53.72170467586629
sample_116,19.35972196410413,-55.29629209203637
sample_117,23.56744641954744,-53.950720453893204
sample_118,20.294217370480496,-50.2753376539396
sample_119,22.628706073284317,-47.79480247110866
sample_120,23.71631368518375,-48.36735205767911
sample_121,27.401436768838156,-52.169598337806036
sample_122,25.330944614236838,-46.17533383932433
sample_123,28.86145622775316,-49.99704283166814
sample_124,29.039781893251458,-44.79654740983616
sample_125,30.575990235557953,-42.66615979806492
sample_126,31.80453132582689,-39.36766643543304
sample_127,31.088805724897945,-39.388359290216094
sample_128,33.90141772106839,-41.029833995162264
sample_129,36.641104422248624,-37.133145013214964
sample_130,33.10595678477173,-35.60093077364422
sample_131,33.685524375679336,-31.2525877990046
sample_132,41.15562156154989,-29.571930504954715
sample_133,36.71836807406023,-27.49933104639665
sample_134,40.87778892168848,-26.732456753751382
sample_135,39.8737674017306,-24.405439669843727
sample_136,41.36108696981416,-26.654846004228894
sample_137,44.4725308148879,-24.207953901968054
sample_138,43.329226671126406,-20.294988695579764
sample_139,43.214240216227374,-15.511403339330393
sample_140,44.3661419831724,-16.06840166656992
sample_141,45.963099614937526,-14.078122483421826
sample_142,49.17749320321643,-10.31790973333325
sample_143,46.88755351182721,-9.53518621199114
sample_144,49.35363986609975,-9.80316515474217
sample_145,48.30090794803319,-3.120589442777447
sample_146,49.00030143170383,-2.5227292092835647
sample_147,55.126265234654795,-2.4475528911011235
sample_148,51.3163519483338,0.7282543581983847
