,PC1,PC2
sample_0,-31.084763257305568,-21.22710449098765
sample_1,-30.492255523546593,-20.425318947093132
sample_2,-30.872966923549317,-21.48919448010709
sample_3,-30.98608771432926,-20.64963856217149
sample_4,-31.293993236361036,-19.007651800970763
sample_5,-31.38298989380514,-20.479190149700276
sample_6,-29.330567551892372,-18.36256446067802
sample_7,-29.11407203387429,-17.619566145383395
sample_8,-30.72761760551378,-20.41366816021494
sample_9,-27.80354443148293,-15.413411129033124
sample_10,-30.25416270063115,-19.421676636037944
sample_11,-29.54575554236986,-17.128623686171384
sample_12,-30.974697132868513,-18.775205325224178
sample_13,-28.17154557204138,-14.074001992084433
sample_14,-29.2871276887435,-15.863883524917329
sample_15,-26.973346859937678,-13.912120527512949
sample_16,-31.69173201543591,-17.835110683961652
sample_17,-27.61570864658229,-13.685060956282614
sample_18,-29.187059147817838,-13.877990843812302
sample_19,-27.791162545685324,-11.644330653027154
sample_20,-28.84087974079183,-13.634820906937401
sample_21,-27.435661596837242,-11.360181233294682
sample_22,-35.056754579736655,-23.29124143928209
sample_23,-27.447292662797306,-11.121437230860296
sample_24,-24.93670311780588,-9.9987046649336
sample_25,-25.34239956903836,-9.236802386228641
sample_26,-24.846414110149315,-8.228283094427786
sample_27,-25.028096533508553,-8.907125740131649
sample_28,-26.440207025726707,-9.697510798807338
sample_29,-25.90920171894024,-8.48304380989653
sample_30,-24.98328859757526,-7.624660409353702
sample_31,-23.64139516416271,-4.855714395096444
sample_32,-26.525963624645787,-5.32823964946472
sample_33,-26.79710165096526,-6.821843618668581
sample_34,-25.930699015790797,-6.83124134015711
sample_35,-24.70308835426598,-6.534781184383545
sample_36,-24.170539928275286,-4.911283502404342
sample_37,-24.33674313136624,-5.440308119010011
sample_38,-22.628036533059987,-3.051361670797231
sample_39,-26.347198700520185,-4.351468231655365
sample_40,-22.760308635597546,-4.048701854594715
sample_41,-23.908879483748645,-2.9135109821702563
sample_42,-23.65868802518046,-4.28211277940393
sample_43,-22.645129082964,-0.5181711853545109
sample_44,-23.207133752217608,-1.4483809059752613
sample_45,-23.400326196617844,-3.570720555186684
sample_46,-22.877186356266165,-1.154978638549102
sample_47,-22.041902375454963,-0.9771162866328518
sample_48,-21.038414565152983,0.9598359259009488
sample_49,-20.874052780781835,0.3482537725468377
sample_50,-19.849048641759964,2.1963545838275556
sample_51,-20.458812947097424,4.518219861962463
sample_52,-21.214785800723213,2.913693191707508
sample_53,-20.173179014087477,2.846784095052989
sample_54,-18.231825108487826,3.530851839749896
sample_55,-17.86944219714223,4.77818497654895
sample_56,-18.320352962859374,4.694917553495541
sample_57,-18.937809566091623,4.7278628388543655
sample_58,-18.186362165853993,7.864030359576144
sample_59,-16.34293769654763,5.16725563966737
sample_60,-16.624515798876402,6.875830586629511
sample_61,-17.306167039922602,7.518264173960973
sample_62,-14.92632359303826,6.902025608888594
sample_63,-15.233199156170866,7.96174157138104
sample_64,-15.530306765448936,7.911529839805675
sample_65,-15.056223613965102,7.879873079945051
sample_66,-15.16104916080887,8.984483834400521
