,PC1,PC2
sample_0,-176.73334569990087,169.7047621708735
sample_1,-152.30925968168347,142.91463790081372
sample_2,-157.3499614907261,145.309905020546
sample_3,-136.53701161320058,122.87372192892971
sample_4,-155.40709649868361,140.67812507638772
sample_5,-156.32090040385623,141.45137754238613
sample_6,-168.65032355924646,151.3119527021287
sample_7,-165.62075794722662,149.1133132793476
sample_8,-166.30711379808747,149.28639941652628
sample_9,-159.61424990518282,139.7789631030726
sample_10,-150.98351112715736,130.9635833755293
sample_11,-177.60946630079908,153.03894294802845
sample_12,-172.63674046898788,147.38587652807485
sample_13,-153.53622284587473,128.30115460199306
sample_14,-153.2588247272464,124.60235733900181
sample_15,-176.8172087250277,150.204520106027
sample_16,-170.32966326953698,136.4851866664386
sample_17,-184.85034852553994,153.97044437643646
sample_18,-156.3790197411894,121.68402305773375
sample_19,-155.25556195148732,119.36587707966892
sample_20,-145.67126855856404,109.4607871019433
sample_21,-172.5960230587539,130.06795787013934
sample_22,-162.5092905092603,120.71223066335524
sample_23,-164.43922360278972,116.659829269012
sample_24,-161.87615427673003,116.2681439199448
sample_25,-153.13523730185537,103.13757845967015
sample_26,-161.5359541190886,106.3571096701705
sample_27,-154.60707341031318,104.44980811982853
sample_28,-153.78111141789594,94.52974643659462
sample_29,-151.64252680891047,94.0505083107995
sample_30,-154.43034192441192,92.85150938258607
sample_31,-142.17047439309187,83.31780359902858
sample_32,-146.11855601567055,82.79680721842388
sample_33,-146.3471364216354,76.1643947948113
sample_34,-146.92546721172505,75.30904567384032
sample_35,-150.5759613534773,74.23539995680947
sample_36,-146.9045740131664,71.35468217388464
sample_37,-153.37372269148062,68.54520854557512
sample_38,-145.66171965969292,63.85986253264459
sample_39,-150.71824263189114,65.25034954697702
sample_40,-149.01405299457687,59.599056593131245
sample_41,-150.55570066804373,49.430104207259525
sample_42,-140.48603967047026,47.64959338740698
sample_43,-142.58428900958793,43.24569655150764
sample_44,-146.06624109751726,38.786189330884206
sample_45,-140.44523924525475,33.795514021308534
sample_46,-140.599024128475,32.41448355479876
sample_47,-131.31733131971404,24.67330770758053
sample_48,-135.9217865883405,25.495219088585138
sample_49,-127.61686688163928,9.051533006290336
sample_50,-131.33470051955882,6.373071635205521
sample_51,-129.36610223623106,6.318036022992605
sample_52,-126.29525212276445,-6.017226993515094
sample_53,-121.68453602272871,0.243021176857485
sample_54,-126.65322610164439,-10.333745372192455
sample_55,-127.63158835160333,-18.27856677049844
sample_56,-120.78362139051454,-19.084954162419844
sample_57,-121.85898804996353,-27.934749840796766
sample_58,-114.20817138725664,-27.984744883247487
sample_59,-119.89066974066549,-32.45326124053355
sample_60,-108.48785986693731,-39.666724918894595
sample_61,-109.64741368099851,-50.90991802657005
sample_62,-113.21249734926587,-50.30740142776071
sample_63,-99.65291382750658,-54.594164192681866
sample_64,-111.34816551814903,-59.47290570240642
sample_65,-98.40631534825276,-63.77553548308335
sample_66,-91.55846528203463,-58.59874217108607
sample_67,-93.20424352353528,-65.92569409473803
sample_68,-99.99525358000481,-78.46628195421688
sample_69,-91.9274710930705,-83.4911115729159
