,age,age_unit,anonymized_name,body_habitat,body_product,body_site,collection_timestamp,description,dna_extracted,elevation,env_biome,env_feature,env_material,env_package,geo_loc_name,has_physical_specimen,host_subject_id,host_taxid,latitude,longitude,physical_specimen_location,physical_specimen_remaining,project_name,qiita_study_id,sample_source,sample_type,scientific_name,sex,taxon_id,title,host_num
232.M3Vkey217,Missing: Not provided,years,M3Vkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Vkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Vkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Gkey217,Missing: Not provided,years,M3Gkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Gkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Gkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Indr217,33,years,M3Indr217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Nkey217,Missing: Not provided,years,M3Nkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Nkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Nkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Tkey217,Missing: Not provided,years,M3Tkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Tkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Tkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Rinr217,33,years,M3Rinr217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Hkey217,Missing: Not provided,years,M3Hkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Hkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Hkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Bkey217,Missing: Not provided,years,M3Bkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Bkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Bkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Xkey217,Missing: Not provided,years,M3Xkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Xkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Xkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Indl217,33,years,M3Indl217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Lkey217,Missing: Not provided,years,M3Lkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Lkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Lkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Rinl217,33,years,M3Rinl217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Thml217,33,years,M3Thml217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Thmr217,33,years,M3Thmr217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Akey217,Missing: Not provided,years,M3Akey217,Not applicable,Not applicable,Not applicable,2008-07-15,Akey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Akey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Wkey217,Missing: Not provided,years,M3Wkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Wkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Wkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Space217,Missing: Not provided,years,M3Space217,Not applicable,Not applicable,Not applicable,2008-07-15,Space_bar,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Space_bar,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Ykey217,Missing: Not provided,years,M3Ykey217,Not applicable,Not applicable,Not applicable,2008-07-15,Ykey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Ykey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Mkey217,Missing: Not provided,years,M3Mkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Mkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Mkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Kkey217,Missing: Not provided,years,M3Kkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Kkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Kkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Pinr217,33,years,M3Pinr217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
232.M3Pkey217,Missing: Not provided,years,M3Pkey217,Not applicable,Not applicable,Not applicable,2008-07-15,Pkey,True,1624,urban biome,research facility,anthropogenic environmental material,built environment,USA:CO:Boulder,True,M3,36244,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,Pkey,surface,indoor metagenome,male,1256227,Forensic_identification_using_skin_bacterial_communities,1
232.M3Midr217,33,years,M3Midr217,UBERON:skin,UBERON:sebum,UBERON:finger skin,2008-07-15,finger_tip,True,1624,urban biome,human-associated habitat,sebum,human-skin,USA:CO:Boulder,True,M3,9606,40.0083,-105.2705,UCSDMI,False,fierer_forensic_keyboard,232,finger_tip,skin,human skin metagenome,male,539655,Forensic_identification_using_skin_bacterial_communities,1
