Rank,Overlap,Sequence_Depth,Method,Metric,value
2,10,1000,rclr-KNN,KL-Div,0.0022701076058573104
2,10,1000,rclr-OptSpace,KL-Div,0.002086402925322635
2,10,1000,rclr-SoftImpute,KL-Div,0.0019657547808153903
2,10,2000,IterativeSVD,KL-Div,102.9732366877324
2,10,2000,KNN,KL-Div,108.71931829277409
2,10,2000,OptSpace,KL-Div,100.56917205730741
2,10,2000,SoftImpute,KL-Div,100.92186665394784
2,10,2000,rclr-IterativeSVD,KL-Div,0.001706716746002753
2,10,2000,rclr-KNN,KL-Div,0.002238504144006596
2,10,2000,rclr-OptSpace,KL-Div,0.001983260602643182
2,10,2000,rclr-SoftImpute,KL-Div,0.001698453830137983
2,10,5000,IterativeSVD,KL-Div,245.47035156849486
2,10,5000,KNN,KL-Div,263.2095294873548
2,10,5000,OptSpace,KL-Div,244.65701358543978
2,10,5000,SoftImpute,KL-Div,241.458750548037
2,10,5000,rclr-IterativeSVD,KL-Div,0.0011658022004171582
2,10,5000,rclr-KNN,KL-Div,0.0015140834222030623
2,10,5000,rclr-OptSpace,KL-Div,0.0016915797657556214
2,10,5000,rclr-SoftImpute,KL-Div,0.001151435543136994
2,10,10000,IterativeSVD,KL-Div,485.3367734308764
2,10,10000,KNN,KL-Div,521.2433707505261
2,10,10000,OptSpace,KL-Div,485.5346037501293
2,10,10000,SoftImpute,KL-Div,474.869018079316
2,10,10000,rclr-IterativeSVD,KL-Div,0.000767945443690348
2,10,10000,rclr-KNN,KL-Div,0.0009160123047412088
2,10,10000,rclr-OptSpace,KL-Div,0.0012992618722223884
2,10,10000,rclr-SoftImpute,KL-Div,0.000755423094559816
2,20,100,IterativeSVD,KL-Div,37.985638262503684
2,20,100,KNN,KL-Div,37.940392754798765
2,20,100,OptSpace,KL-Div,35.67997762123801
2,20,100,SoftImpute,KL-Div,36.594237909328136
2,20,100,rclr-IterativeSVD,KL-Div,0.0019577599906322883
2,20,100,rclr-KNN,KL-Div,0.0020633422266298344
