,PC1,PC2
sample_0,-0.1422813218803401,-0.9984115553087394
sample_1,0.0670226112791456,-1.0347346467284462
sample_2,0.140298208996138,-0.9949762335451076
sample_3,-0.3709550598559368,-1.0458814694397838
sample_4,0.173338988875255,-1.0701827523711263
sample_5,-0.052809489014970915,-1.047520373307777
sample_6,0.26516304346554986,-1.0060838240466223
sample_7,0.0703032256747046,-1.0398277189029272
sample_8,0.10549390735268946,-1.080761513576491
sample_9,-0.24539684139168724,-1.0560363387085512
sample_10,-0.15935360434641443,-0.9761026737126944
sample_11,-0.06891695062418368,-1.0749314483323935
sample_12,-0.09638695372779826,-1.0765450107558188
sample_13,-0.2870129649810279,-1.0589379221843016
sample_14,-0.19707967312928754,-1.0499916682303572
sample_15,-0.37384126630645576,-1.0294345101086184
sample_16,-0.7032622641138958,-1.0830736026089882
sample_17,-0.5113185467523155,-1.0828552849024886
sample_18,-0.5695096343690303,-1.0807158120508438
sample_19,-0.7768726972209284,-1.1360595978422838
sample_20,-0.8342058218714302,-1.0785709538723087
sample_21,-1.1246877118451957,-1.0935283661266118
sample_22,-0.6607002170208828,-1.0599800415519827
sample_23,-0.7110171212400453,-1.0305804864937254
sample_24,-0.4522481145929089,-1.0230949815308954
sample_25,-0.8066052992450304,-1.0813213055337756
sample_26,-0.5547574396336715,-0.9624850667453212
sample_27,-1.2522795914422522,-1.0435377136804447
sample_28,-1.1684354256676819,-1.0863933538792918
sample_29,-0.9472692239482372,-1.0742487670248984
sample_30,-1.0961728631668766,-1.041998060720914
sample_31,-0.8056532630973788,-1.045537180936995
sample_32,-1.475515487269806,-1.047159571589571
sample_33,-1.1258214517632399,-1.0584954815311354
sample_34,-1.1893419428898615,-1.0890332938873224
sample_35,-1.3533544319135964,-1.0406694997416106
sample_36,-1.2680741152019774,-1.026480612285453
sample_37,-0.9825833961662718,-1.012362243480731
sample_38,-1.6416482763266764,-1.0366451118807747
sample_39,-1.2389418989139929,-1.0221927494004543
sample_40,-0.9996012194665098,-1.0202943658556078
sample_41,-1.6162512807114624,-1.033269943957935
sample_42,-1.4734665822869413,-1.0420075630479835
sample_43,-1.1556836511878412,-1.02646459044773
sample_44,-1.6140565666946844,-1.0686215781689317
sample_45,-1.3609620983566972,-1.0711388420619838
sample_46,-1.2364274907415886,-1.0191436699640617
sample_47,-1.8348414477998267,-1.0639947317534815
sample_48,-1.785093216174214,-1.0656780252910343
sample_49,-2.0187653623279713,-1.0717579326138194
sample_50,-1.3478637444744557,-1.061960270417213
sample_51,-1.4751088219641544,-1.0713117760784852
sample_52,-1.527995757084018,-0.9926411906838045
sample_53,-1.518438048486013,-1.0380271538879295
sample_54,-1.1900188756621715,-1.0275680850544793
sample_55,-1.5220623455077558,-1.0419654068807505
sample_56,-2.041230090318513,-1.0484542296899202
sample_57,-1.1721451175346804,-1.0377373848806932
sample_58,-1.5531527093721538,-1.0108592311623716
sample_59,-1.1844179011848925,-1.0510202149791865
sample_60,-1.785170571481404,-1.0479988642112366
sample_61,-1.2612524484421022,-1.054251194497443
sample_62,-1.511024787110459,-1.0717975324764228
sample_63,-1.3407613868486747,-1.0654233446188779
sample_64,-1.35271407363518,-1.0669390924754856
sample_65,-1.1018514757551365,-1.0182998847963585
