,PC1,PC2
sample_0,-0.5795620364890656,-0.9929109669712946
sample_1,-0.5970840914164603,-0.9759495555373794
sample_2,-0.6411965936114374,-0.9736733640007867
sample_3,-0.7160681888466023,-0.9352806520312085
sample_4,-0.7134841103735622,-0.9242157147717979
sample_5,-0.7885057258732292,-0.9294964512657482
sample_6,-0.885709944621516,-0.9378280477230615
sample_7,-0.9147599452816827,-0.9868648908513579
sample_8,-0.9210091481703575,-0.9438225317736322
sample_9,-0.9782108847646607,-0.879162552983985
sample_10,-0.9692791292374457,-0.8828379393943022
sample_11,-1.021709096428766,-0.8676125824591511
sample_12,-1.0211066801664321,-0.8821938940434324
sample_13,-1.1017512182999112,-0.8922271767204231
sample_14,-1.0962923242944924,-0.851958538125431
sample_15,-1.0923094024877356,-0.8705639826155063
sample_16,-1.1194164679048049,-0.8428965078702622
sample_17,-1.1814922151463743,-0.8685709966282547
sample_18,-1.1665065427314516,-0.860002345028666
sample_19,-1.1722993705633877,-0.8289110342605227
sample_20,-1.1257736902353574,-0.8253228568614854
sample_21,-1.164475010759681,-0.8339066449633271
sample_22,-1.1967219146782468,-0.8146724535523722
sample_23,-1.223163779028089,-0.8228859988364451
sample_24,-1.22543674642516,-0.8091392077554501
sample_25,-1.2124715631506258,-0.794639035373121
sample_26,-1.2544860112211922,-0.828225838069022
sample_27,-1.2204821204904845,-0.8200245263113742
sample_28,-1.199801471707013,-0.7932027549364716
sample_29,-1.2478827320742583,-0.8117767789088959
sample_30,-1.236139387092167,-0.8148050935033531
sample_31,-1.2633837880315812,-0.8137022270205759
sample_32,-1.3124465843064492,-0.8325389148468179
sample_33,-1.2028774949691245,-0.805648827652679
sample_34,-1.283910288475809,-0.8167535492189724
sample_35,-1.2412525955380973,-0.7969682064367974
sample_36,-1.327460935534405,-0.8355861291200691
sample_37,-1.2266487943905908,-0.7962220128604978
sample_38,-1.2743053126873025,-0.8048315362880663
sample_39,-1.258373105701011,-0.816568394384284
sample_40,-1.24941589815575,-0.808523303620932
sample_41,-1.316427938461606,-0.8326745000597219
sample_42,-1.2868669197535294,-0.8163394991657129
sample_43,-1.2325832300554371,-0.7876901782255924
sample_44,-1.2896628327169906,-0.8140309522176087
sample_45,-1.2749341326846415,-0.8065771501549841
sample_46,-1.2679705757459028,-0.7977070807198499
sample_47,-1.2353679055355633,-0.8158611679248297
sample_48,-1.2902493080503925,-0.8093314152026677
sample_49,-1.282411143780598,-0.8178382541380879
sample_50,-1.2480184652231487,-0.7945115675678417
sample_51,-1.2766493231498537,-0.8147939716271466
sample_52,-1.2439357192311242,-0.7965326826356692
sample_53,-1.271489462908485,-0.8049529024318357
sample_54,-1.2477808612933725,-0.8058563644447833
sample_55,-1.2374631351656002,-0.7827601090609118
sample_56,-1.2835018110257022,-0.8077208451747384
sample_57,-1.290482740170021,-0.8192467934354082
sample_58,-1.2634334501503748,-0.8030261953610064
sample_59,-1.2638422681463357,-0.8041376343988608
sample_60,-1.2492775471272426,-0.799088468262031
sample_61,-1.2683192987510223,-0.8175818026232263
sample_62,-1.253756933238359,-0.809859335391194
sample_63,-1.2634498809194183,-0.8068293610898519
sample_64,-1.2533042985529,-0.8037555504198353
sample_65,-1.2992647058376654,-0.8265515199213118
sample_66,-1.2762439736279239,-0.8176895105442097
sample_67,-1.2419971613188598,-0.8176879409905663
sample_68,-1.2814520732813512,-0.8223348931037945
sample_69,-1.2343262815981668,-0.8037030360016196
sample_70,-1.2417297087722705,-0.8183108783194293
sample_71,-1.2622906707792159,-0.82349246942861
sample_72,-1.2502180343392484,-0.8331725019713923
sample_73,-1.2302959018616615,-0.8252506296468302
sample_74,-1.1968384050296943,-0.8031447832332348
sample_75,-1.2128843951263293,-0.8177871739268804
sample_76,-1.2225189931408398,-0.8226034167618658
sample_77,-1.2017399097630024,-0.825059294397643
sample_78,-1.170066054281582,-0.8146792261588855
sample_79,-1.2517746428676912,-0.8635841760224658
sample_80,-1.2141918631526103,-0.8255896753971881
sample_81,-1.1471510283408062,-0.8500742557843716
sample_82,-1.1575312858998759,-0.8380106278040612
sample_83,-1.1385788529909104,-0.8486846581846206
sample_84,-1.1176700669220367,-0.8575244407346921
sample_85,-1.1110370990185028,-0.8715630821817751
sample_86,-1.1085828413615124,-0.8748249038911717
sample_87,-1.027871465470713,-0.844875169283852
sample_88,-1.0576885808106269,-0.9079175599380396
sample_89,-0.9599437680138451,-0.8788116562778217
sample_90,-0.9852929378705176,-0.912534092681394
sample_91,-0.8893023525434371,-0.9476935226152805
sample_92,-0.8677759871919771,-0.9532136350279586
sample_93,-0.9029353062828297,-0.9286225800840979
sample_94,-0.8138441149096274,-0.9275393462145284
sample_95,-0.7438688049152421,-0.9372579306114415
sample_96,-0.7383497814387668,-0.9510087064159005
sample_97,-0.6937577449649797,-0.964315421605232
sample_98,-0.618519940261462,-0.9540513703038835
sample_99,-0.4793805545912321,-0.9921924432114794
sample_100,0.8016513617065274,-1.1430433083715494
sample_101,0.7209270450064174,-1.1098390731549563
sample_102,0.7633021378310466,-1.1405025130225421
sample_103,0.8642487191640426,-1.1993425058513678
sample_104,0.7496667579357957,-1.1156763696816068
sample_105,0.7880190240268521,-1.127426501624776
sample_106,0.7945341652641347,-1.1149644301724126
sample_107,0.7768907064413327,-1.1115173669681213
sample_108,0.7384805478912184,-1.1006452655174352
sample_109,0.8332796474340346,-1.2631898174352303
sample_110,0.8188301140779632,-1.1322294248307283
sample_111,0.8544878926655374,-1.1981323255918648
sample_112,0.8165723309284361,-1.1150744954609517
sample_113,0.820691865151506,-1.143519207916221
sample_114,0.8276843406526792,-1.1462229259481227
sample_115,0.8364585960618421,-1.1481486105436933
sample_116,0.8172135426245816,-1.1224436556323056
sample_117,0.8293528101046933,-1.1243467053437528
sample_118,0.8295902669990043,-1.1049151210828603
sample_119,0.8570805480489404,-1.157573334839951
sample_120,0.8873667377966646,-1.150866375736532
sample_121,0.7979862696654675,-1.1049276278337732
sample_122,0.836664264029774,-1.1215121914878514
sample_123,0.8317885996752984,-1.1078089806647347
sample_124,0.794157553157351,-1.0873845642664561
sample_125,0.8329483991585125,-1.109537190407702
sample_126,0.8245379191590538,-1.0977927038250996
sample_127,0.8527797496605364,-1.1092584215210994
sample_128,0.8714236535726585,-1.1146428269201445
sample_129,0.8502253574862768,-1.1240226834220621
sample_130,0.8658293369300276,-1.1233758445307083
sample_131,0.8255208786397912,-1.0901138137886686
sample_132,0.8830013782763068,-1.1476586366882793
sample_133,0.8352310101556805,-1.1067305070171523
sample_134,0.8801362522095614,-1.1399669304984728
sample_135,0.884973976965699,-1.134281327323404
sample_136,0.8821918018711673,-1.1580327943466044
sample_137,0.8491952575794052,-1.1167802722989524
sample_138,0.8462011224892733,-1.1102724101522752
sample_139,0.8724884646137444,-1.1390655559702503
sample_140,0.8519843889194867,-1.1139208653789403
