,PC1,PC2
sample_0,0.27653321763378275,1.0972005821449564
sample_1,0.36017312702248255,1.0994810907910226
sample_2,0.36302814519608484,1.0283519383759274
sample_3,0.4177077915355025,1.0598389816762246
sample_4,0.4106614897123967,1.0309601824692456
sample_5,0.4695483910946574,1.0281207218646293
sample_6,0.5301630000579268,1.049443383507671
sample_7,0.5837380049860823,0.9925918126465081
sample_8,0.6524179192034614,0.9171194502818202
sample_9,0.6724931511092367,0.9626803629863774
sample_10,0.7693934569086345,0.9286003493846007
sample_11,0.808244418923069,1.012723330209694
sample_12,0.8168809754003737,0.9728834645843559
sample_13,0.9158264378703517,0.9538125114559678
sample_14,0.980164421493452,0.9077187661464594
sample_15,0.9852242567675796,0.8510075957137402
sample_16,1.1002186681994022,0.8660476292748815
sample_17,1.0565376722526543,0.8812442779400199
sample_18,1.1336717566154135,0.844241961400858
sample_19,1.1131855732752756,0.7729279081673701
sample_20,1.15730859379604,0.9049140463088611
sample_21,1.1757174382628426,0.8426468710073266
sample_22,1.1183379469215953,0.8469994984367128
sample_23,1.1667617751542936,0.8284089854405939
sample_24,1.1281547278922028,0.9375122632727902
sample_25,1.2498484220294568,0.8876262013155795
sample_26,1.2578563893953651,0.8276674656292556
sample_27,1.2921546069608667,0.8397649488346542
sample_28,1.2513398691248112,0.8780814135544274
sample_29,1.3273375476705103,0.863162712123314
sample_30,1.340047423128515,0.7964832540047373
sample_31,1.388320519128942,0.8173264892344195
sample_32,1.2659577278287881,0.8404434059049195
sample_33,1.370780274757011,0.7055991055801628
sample_34,1.3602297156119945,0.8126404635965218
sample_35,1.2845378629255793,0.8404547418654796
sample_36,1.3635118785242226,0.8212990009925212
sample_37,1.29210150759874,0.8738695543696485
sample_38,1.403165281111339,0.8478451867306738
sample_39,1.293285143931597,0.8205319678586523
sample_40,1.4009169665213308,0.8161787202236864
sample_41,1.3393779518786542,0.7800259798374
sample_42,1.3769531241056057,0.7491236704971267
sample_43,1.3083036596036546,0.7775326229772017
sample_44,1.2919194122206756,0.8741880094051311
sample_45,1.4244931147571664,0.7712987566092497
sample_46,1.3764418682132298,0.8124506107391859
sample_47,1.3863496607081895,0.797275641706281
sample_48,1.396445525939964,0.7498615795708297
sample_49,1.3988625202112073,0.7820760164048468
sample_50,1.4043834625301241,0.7870444414643593
sample_51,1.3418356978729693,0.8240386244121958
sample_52,1.3970634542522422,0.7805229396691233
sample_53,1.4261419320578832,0.7863363799757581
sample_54,1.3779167452637617,0.8241400437149917
sample_55,1.3300042696947596,0.7773161127995397
sample_56,1.3646693371067689,0.7636298860076882
sample_57,1.445968034936666,0.8384908806077451
sample_58,1.4209987564069806,0.7847629307508659
sample_59,1.4087944164690642,0.7599962119715414
sample_60,1.3576164346682755,0.832870682624985
sample_61,1.4427144882001586,0.8072481693084258
sample_62,1.4127021069640662,0.7936967442236704
sample_63,1.350039893668033,0.8488974997773447
sample_64,1.3079601480367045,0.8682503004706923
sample_65,1.3461980340780981,0.8394411433773027
sample_66,1.358512507573426,0.7786465959670339
sample_67,1.3195881819855864,0.9097719179495233
sample_68,1.337855517198167,0.8429511649280588
sample_69,1.3247244896261288,0.7621548837876144
sample_70,1.372133735794537,0.7651562649584447
sample_71,1.2920101250721012,0.8880074982224735
sample_72,1.3769037631634917,0.7238795568224929
sample_73,1.341821134883168,0.8005735280600664
sample_74,1.2542535887514703,0.865545096693928
sample_75,1.2642897765591077,0.8756365566074731
sample_76,1.1987141140603426,0.9053401548528821
sample_77,1.212769780189155,0.7909933573861583
sample_78,1.2180759098276281,0.9053993276657669
sample_79,1.1561066356816678,0.8668250039760395
sample_80,1.2174486489730239,0.887333272264119
sample_81,1.240085071265081,0.7539460258938784
sample_82,1.1582677909785442,0.8586810769780113
sample_83,1.2030552743051346,0.8411813326553694
sample_84,1.13755283636054,0.8181694624935978
sample_85,1.0432562226922724,0.860667313203518
sample_86,1.0849685812216432,0.8419356227636814
