,PC1,PC2
sample_0,-184.10137399037262,119.37010985598563
sample_1,-175.0736804783448,-15.488823896354864
sample_2,-185.5993871019302,-14.352480415384457
sample_3,-183.93382718819947,-18.626197814768442
sample_4,-194.7611017530872,-24.89754652923298
sample_5,-200.4028950590273,-11.03225125281502
sample_6,-205.31434704238924,-12.590859277276223
sample_7,-224.63807909288775,-1.5187073189027316
sample_8,-216.51460133799355,-18.36974679943439
sample_9,-233.09429714102805,-6.933540858544151
sample_10,-228.70438795728472,-20.041761223247295
sample_11,-240.75170956057735,-2.0544687400812665
sample_12,-236.58383808402732,-4.087939279114796
sample_13,-231.0314839727446,-35.166022440138015
sample_14,-242.47283641286452,-16.30772485765985
sample_15,-246.1730615750256,-21.234985380659623
sample_16,-236.76180700135376,-5.8610308841665475
sample_17,-238.8829835333513,-17.00137667976983
sample_18,-270.1105363030383,-0.22074030256296853
sample_19,-247.01587960470843,-9.264817929285032
sample_20,-251.04701852031334,-18.265885407626975
sample_21,-269.82262525089465,-29.999973748667323
sample_22,-255.39683508004094,-16.821346945221535
sample_23,-255.65516261812843,-7.331223654866831
sample_24,-263.1761942896063,-8.783994030820349
sample_25,-260.8343625383248,-20.75864853190451
sample_26,-253.85137805020966,19.83004724929957
sample_27,-259.5183382997859,-12.3962496825912
sample_28,-257.4822600832336,-24.710949967806894
sample_29,-257.227439340405,5.518517905359344
sample_30,-258.3182568116646,-30.69242051501132
sample_31,-264.226498003852,22.840822991870784
sample_32,-265.60899582415783,-23.824841518736175
sample_33,-252.2578427124139,-19.18721888458637
sample_34,-277.1997969516484,-22.878229452869764
sample_35,-274.0710885850415,3.291989418742884
sample_36,-257.7337052983793,2.4292068630136865
sample_37,-261.41346215073156,-4.262566447829853
sample_38,-270.5244493112814,-24.924892858334083
sample_39,-273.3232960345963,-23.41952877775336
sample_40,-254.16362362938307,-12.012698096415807
sample_41,-253.32164122418166,6.963823153458835
sample_42,-268.73544355526207,-19.978497465690566
sample_43,-254.35585276335522,-28.383941600529994
sample_44,-288.1701390447032,-34.8895556664778
sample_45,-263.1941778737355,-21.115579717158177
sample_46,-279.965248738437,-11.9158421329937
sample_47,-262.1764927087733,-5.900650462856362
sample_48,-263.69835098877525,-32.85700606175628
sample_49,-270.0006290139137,19.810574976270743
sample_50,-290.46243769369914,-11.830159724909182
sample_51,-268.9112554195515,-5.559384054595873
sample_52,-262.213426700411,-26.149937789604735
sample_53,-277.95427150781717,-22.504689285716164
sample_54,-265.42056117666107,2.112457680908475
sample_55,-262.6719206911993,1.3760231070394036
sample_56,-266.1941471883722,-25.65353088840789
sample_57,-270.27675078152345,20.99198576621694
sample_58,-263.9005644333788,1.5875606264981836
sample_59,-250.08908180965,-5.824974659112222
sample_60,-280.0407342226348,-18.897656311529236
sample_61,-256.93396784806885,-3.1392678402804925
sample_62,-267.22136013363985,-8.648598757721691
sample_63,-262.40308891677734,-18.881381877892107
sample_64,-277.46403442197123,7.482142022962195
sample_65,-265.21583110862366,-17.612905219613534
sample_66,-283.6556908377487,834.8498042152931
sample_67,-290.7446743245196,-31.271578757520064
sample_68,-267.26808395723015,-33.51499888600981
sample_69,-266.4603466644954,-14.166196723503363
sample_70,-262.38677788069083,-4.642420916603477
sample_71,-276.65583913907636,-15.390437825185606
sample_72,-260.41962335873865,-6.518919395654556
sample_73,-271.55771988410845,-2.709730548818442
sample_74,-283.0761886450766,-40.85817734197161
sample_75,-253.95301606842617,-3.5351027060163114
sample_76,-266.1404145576998,9.328348806764689
sample_77,-257.2981226932223,35.79861818374857
sample_78,-270.9391531840551,-20.42938750757435
sample_79,-263.60546293091824,-4.080726445495828
sample_80,-140.23384666995648,-14.130748116374368
sample_81,-145.57413389006314,-19.15971419924209
sample_82,-127.21593108848937,-3.050044800876072
sample_83,-121.25466743896779,-0.1729069220140459
sample_84,-110.64005721462749,-16.172059936174012
sample_85,-115.13631845338585,6.910393888884257
