,PC1,PC2
sample_0,-0.6448580651025168,-0.9937494885956926
sample_1,-0.7066939952815858,-0.98216389565656
sample_2,-0.6845212429931496,-0.985299616409905
sample_3,-0.8174202026893914,-0.9681093593678635
sample_4,-0.8660634805308756,-0.9126757872094888
sample_5,-0.8456755601704155,-0.9263990520480218
sample_6,-0.8750339060628459,-0.8816774593147215
sample_7,-0.9318289607819943,-0.8851829755758729
sample_8,-1.0007642080534114,-0.8377594920426594
sample_9,-1.010010429823206,-0.8676148017813539
sample_10,-1.0459229900648022,-0.8620930738530709
sample_11,-1.0728430321574518,-0.8127684975222167
sample_12,-1.1042336061781282,-0.8229798584335882
sample_13,-1.1368510878475755,-0.8123165924831212
sample_14,-1.145286328601271,-0.8057018660248337
sample_15,-1.107848507316742,-0.7916879245415479
sample_16,-1.1875419919134622,-0.7769406408391971
sample_17,-1.193015327820874,-0.786912786927342
sample_18,-1.2531995199394443,-0.7702354137873695
sample_19,-1.2021999946241226,-0.7485874310426394
sample_20,-1.1862227327919939,-0.7644532678746234
sample_21,-1.2608364896170685,-0.7689321017071817
sample_22,-1.3092543237992627,-0.7612003273161327
sample_23,-1.2636455769777604,-0.7691395825075498
sample_24,-1.2936263135013035,-0.7442788202878076
sample_25,-1.316232582596115,-0.7786249728722053
sample_26,-1.3181525063709967,-0.7607351896517186
sample_27,-1.288349404773328,-0.7556161594458796
sample_28,-1.3526126077696137,-0.746937246299197
sample_29,-1.2791278148577168,-0.7628456517176698
sample_30,-1.2867236403331739,-0.7525418119881987
sample_31,-1.3269347564281895,-0.7478682805924874
sample_32,-1.3287359334809574,-0.7473587747150449
sample_33,-1.3109626814400244,-0.7559308830542296
sample_34,-1.263009105803935,-0.7414095120331156
sample_35,-1.3750390401829762,-0.749384985559842
sample_36,-1.3605423326985917,-0.7469070396545117
sample_37,-1.3514994335836268,-0.7548596318463724
sample_38,-1.3094141582786312,-0.7283192073739757
sample_39,-1.3122884720476087,-0.7356238746398099
sample_40,-1.3389104823330267,-0.753088742202125
sample_41,-1.3612076633432588,-0.719324915713357
sample_42,-1.34472266647361,-0.7542304519295876
sample_43,-1.378999529022016,-0.7693377849081778
sample_44,-1.3595814552987315,-0.7522803744179092
sample_45,-1.34855740683679,-0.7571636058208628
sample_46,-1.309295333007136,-0.7453711152880692
sample_47,-1.3041124262959762,-0.7545757177540225
sample_48,-1.3560659778117543,-0.7507275856991641
sample_49,-1.309223775422919,-0.7360675581369268
sample_50,-1.3345038466087074,-0.7514910808500264
sample_51,-1.3601295156589779,-0.7505453588959426
sample_52,-1.3434183064665213,-0.7255733178161651
sample_53,-1.3822752512318628,-0.7611627416617218
sample_54,-1.3507975071602392,-0.7511800390658827
sample_55,-1.3370797096642102,-0.746832253060373
sample_56,-1.309853305131541,-0.7459641874182041
sample_57,-1.3003730588403346,-0.7169093669663447
sample_58,-1.3611604180669903,-0.7244366455191993
sample_59,-1.357905396044233,-0.7657060453112797
sample_60,-1.3576035548295355,-0.7454650386646995
sample_61,-1.331013942364319,-0.7505957578923445
sample_62,-1.3318050660492602,-0.7312393065491806
sample_63,-1.3318938453230103,-0.7608098489321774
sample_64,-1.3406265597053668,-0.7585442648600382
sample_65,-1.3546063584058416,-0.7100944539241737
sample_66,-1.356861580561236,-0.751099584414862
sample_67,-1.37781595253481,-0.7557173596943731
sample_68,-1.332844653732071,-0.7819869931729627
sample_69,-1.3166125430936733,-0.7632560288755605
sample_70,-1.344835734980727,-0.7653156348353555
sample_71,-1.3537942561065797,-0.7441198806936349
sample_72,-1.306863126504496,-0.7604882570968746
sample_73,-1.333899370120414,-0.7379810694221194
sample_74,-1.2913464616619403,-0.7471778991451178
sample_75,-1.2825654621842222,-0.7373110036544226
sample_76,-1.337667207120411,-0.7720652264859407
sample_77,-1.3251197804802823,-0.7677573818646338
sample_78,-1.3458512877923077,-0.762282130835604
sample_79,-1.288252795933518,-0.7567468555763576
sample_80,-1.3136879925829132,-0.7479113145476075
sample_81,-1.3305508747629153,-0.737082161623248
sample_82,-1.318745995312557,-0.7645829294681327
sample_83,-1.285720746476305,-0.7733069048309699
sample_84,-1.316565308089681,-0.7434825437433324
sample_85,-1.282055179733781,-0.7585958212000461
sample_86,-1.2540176681670279,-0.761991031371143
sample_87,-1.2585411763897625,-0.7765721661486519
sample_88,-1.2712163138295405,-0.7725566028388345
sample_89,-1.2619246337170467,-0.7707546757925526
sample_90,-0.3075790711831263,-0.9865165351675923
sample_91,-0.2783852675128179,-0.9888983721982618
sample_92,-0.27964809636436105,-1.004240578232772
sample_93,-0.16980851597916313,-1.0299289108707412
sample_94,-0.09956567188322199,-1.033903148228598
sample_95,-0.10761271539273991,-1.0329973034086282
sample_96,0.035086894835571786,-1.0474888977464585
sample_97,0.05826248695933213,-1.0500302660898975
sample_98,0.12037443290112367,-1.0500480865142923
sample_99,0.1615741761912174,-1.0934783594545547
sample_100,0.2090152858328738,-1.1157461701294853
sample_101,0.24795398461728932,-1.0888014181273968
sample_102,0.31864074040274415,-1.0970732540465817
sample_103,0.4652585734242459,-1.1267248685821512
sample_104,0.4584627546406153,-1.1309156100397986
sample_105,0.48439803766247064,-1.122938811196003
sample_106,0.5462846299147569,-1.1340235233779778
sample_107,0.5854897569909439,-1.1578630195091655
sample_108,0.6138990176179493,-1.169774357412601
sample_109,0.6286037901025162,-1.1531467449884805
sample_110,0.7294397987192686,-1.1605508485874465
sample_111,0.8021401962444151,-1.1829857325875421
sample_112,0.7744185804978909,-1.1605325333820191
sample_113,0.7689811723008373,-1.158598182013574
sample_114,0.777216444942245,-1.1712840815567922
sample_115,0.7797576493751875,-1.1712732384081759
sample_116,0.798827660993661,-1.170443032612906
sample_117,0.7519202953862993,-1.125197650008401
sample_118,0.7431879220845654,-1.1228165262431233
