,PC1,PC2
sample_0,-0.9081397753040686,-0.9514419635716594
sample_1,-0.8822776638518645,-0.9837245705380848
sample_2,-0.8878925023917295,-0.9545148474826463
sample_3,-0.9396306648119028,-0.9211487905085418
sample_4,-0.982626911243959,-0.9127733283818046
sample_5,-1.0154378454015125,-0.9007142043702564
sample_6,-1.0424507464440267,-0.8692080212321512
sample_7,-1.0472409873358515,-0.8658009282601642
sample_8,-1.092031477925327,-0.8399032121879024
sample_9,-1.0738375271472804,-0.8395578890832324
sample_10,-1.120406755935271,-0.8104660523268999
sample_11,-1.1703648121407353,-0.8066892649187218
sample_12,-1.1581839745715055,-0.7822516882070414
sample_13,-1.1953461192191133,-0.7792086500425454
sample_14,-1.180025772060237,-0.7497297505478117
sample_15,-1.2097109119764993,-0.7597914189098798
sample_16,-1.2421088830824754,-0.7827855560649638
sample_17,-1.2538135777043053,-0.7735243375073029
sample_18,-1.1940450914309586,-0.7337931357959655
sample_19,-1.262262965201906,-0.7566122215679101
sample_20,-1.2652107926495455,-0.7257857611172097
sample_21,-1.3057249753112452,-0.754509937888489
sample_22,-1.2851074384058114,-0.7413824454903659
sample_23,-1.2888152955472496,-0.749194150767246
sample_24,-1.2623446874164255,-0.7429831567433085
sample_25,-1.2350164484497208,-0.7163056331768116
sample_26,-1.262232444913856,-0.718943710793084
sample_27,-1.2503048426488528,-0.7243773404114622
sample_28,-1.288845069798542,-0.7336873746244676
sample_29,-1.296702959985299,-0.7271752101918325
sample_30,-1.2667719189684163,-0.7197156683086109
sample_31,-1.278844177623972,-0.7280062463801826
sample_32,-1.272636918381356,-0.725500229770853
sample_33,-1.2775947411215935,-0.7166862841123246
sample_34,-1.2606245682681116,-0.7151211609959098
sample_35,-1.2827837968180213,-0.7286040466995705
sample_36,-1.242857477878737,-0.706936836019916
sample_37,-1.2516110660827429,-0.7100366521599707
sample_38,-1.25841952759207,-0.7094202546854935
sample_39,-1.2765099225319856,-0.714372765621391
sample_40,-1.2881950614786297,-0.7190760823354342
sample_41,-1.2775698903970254,-0.7203446282236826
