,PC1,PC2
sample_0,0.6020761727468013,-0.9984827600997271
sample_1,0.6546029999216164,-0.9809474261925831
sample_2,0.6490917355107644,-0.949843812197161
sample_3,0.6860491574474068,-0.9577085372434966
sample_4,0.849466065408873,-0.930055088928992
sample_5,0.7950269817354964,-0.9341850471546219
sample_6,0.8301622645552367,-0.9288943289044717
sample_7,0.8685221752482181,-0.8924462984958618
sample_8,0.9016051914928015,-0.9014589547266652
sample_9,0.9930661176949034,-0.8877962966366878
sample_10,1.0277241702992708,-0.8559695831469885
sample_11,1.0306932942940548,-0.8796763724215079
sample_12,1.0817385039457745,-0.8636659175831778
sample_13,1.0730755955765516,-0.8720883634185772
sample_14,1.1507848208404143,-0.8552888422588434
sample_15,1.0983183172006823,-0.8387016313192335
sample_16,1.127771480573352,-0.8382745435272972
sample_17,1.1504893038300092,-0.8550553091283807
sample_18,1.1920888550671502,-0.8323666178999619
sample_19,1.248571390932542,-0.8193625024184441
sample_20,1.270473682963838,-0.8491670861335552
sample_21,1.23130710424619,-0.827568051492227
sample_22,1.2308161665327728,-0.8198607127229782
sample_23,1.2524293733108447,-0.8240319295255419
sample_24,1.2971097192582801,-0.8361858500617758
sample_25,1.2934012292945958,-0.800963325042965
sample_26,1.3337254815176605,-0.8357607410935255
sample_27,1.2777222428939168,-0.7983062845489515
sample_28,1.3471825923937237,-0.8191146156697512
sample_29,1.3246338034100396,-0.8209616790824016
sample_30,1.3017379289882345,-0.7993861603413455
sample_31,1.2998726974804835,-0.8098664784643198
sample_32,1.3275684566910158,-0.8176081119785847
sample_33,1.2763726676661222,-0.8079940399104812
sample_34,1.3610995241547494,-0.8204581046549044
sample_35,1.316553952442166,-0.8142957233932011
sample_36,1.3155714160915273,-0.8001549553141948
sample_37,1.3467578970819483,-0.8119270124354642
sample_38,1.3220122452974388,-0.8163992199917914
sample_39,1.3133269728829147,-0.8125916750178154
sample_40,1.3240641937854607,-0.8036549110847014
sample_41,1.3463469827288221,-0.8060290524335859
sample_42,1.3292256884432037,-0.8146880502417947
sample_43,1.3520921565595987,-0.7953116195552606
sample_44,1.427421084359163,-0.8182966750455627
sample_45,1.3560506865640538,-0.8200745835677226
sample_46,1.326511597084397,-0.8118606655924758
sample_47,1.3483703884017741,-0.7815081682875791
sample_48,1.3754277122711522,-0.8025802697464508
sample_49,1.3670733185949386,-0.7869769762711103
sample_50,1.3531306951823614,-0.8007930048632641
sample_51,1.3769667514935322,-0.8033760937040747
sample_52,1.3361177333720058,-0.8102400876897539
sample_53,1.3776156451974384,-0.807523632437179
sample_54,1.3705805638692186,-0.8155651801477233
sample_55,1.3293012153118267,-0.8065574461093082
sample_56,1.3377227115035975,-0.7971520262366832
sample_57,1.3401336249462523,-0.7937494158467403
