,Bray-Curtis,Bray-Curtis,Robust Aitchison,Robust Aitchison,Weighted Unifrac,Weighted Unifrac
,F statistic,p-value,F statistic,p-value,F statistic,p-value
Sleep_Apnea,9.540282372182485,0.001,84.62623433831237,0.001,5.765628987204475,0.004
Sponges,54.00263193950194,0.001,276.9491988748065,0.001,89.01926659719349,0.001
