	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.Webster.3.E3.239.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	720	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.4.B6.300.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	9.0	ENVO:reef	sponges	654	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.4.A1.283.EMP.Thomas.sponges.16S.L008	1990-07-17 00:00:00	GAZ:Australia	Unknown	ENVO:reef	sponges	764	-15.833329999999998	124.63333	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.2.E1.142.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	1002	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.C10.316.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	Unknown	ENVO:reef	sponges	921	-18.68543	146.51218	ZZ	Unknown	Larvae	28	Unknown
1740.Webster.3.B1.201.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	682	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.4.D11.329.EMP.Thomas.sponges.16S.L008	2010-12-21 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	789	-18.59297	46.48359	Upright -80 Rack 3C10	Unknown	Larvae	28	Unknown
1740.Webster.3.C11.223.EMP.Thomas.sponges.16S.L008	2012-06-14 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	704	-18.81707	147.63232	ZZ	Unknown	Adult	23.3	Unknown
1740.Webster.3.F12.260.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	741	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.2.F6.159.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	959	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.2.F1.154.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	999	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.D5.229.EMP.Thomas.sponges.16S.L008	2012-06-14 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	710	-18.81707	147.63232	ZZ	Unknown	Adult	23.3	Unknown
1740.Webster.2.E11.152.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	997	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.E8.338.EMP.Thomas.sponges.16S.L008	2010-12-30 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	801	-18.59297	46.48359	Upright -80 Rack 3C14	Unknown	Larvae	28	Unknown
1740.Webster.2.F2.155.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	991	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.A11.293.EMP.Thomas.sponges.16S.L008	2012-08-15 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	770	-9.75403	143.41833	ZZ	Unknown	Adult	27.6	Unknown
