Band_Width,Sequence_Depth,Method,Metric,value
1.7,100.0,OptSpace,KL-Div,28.11422266933853
1.7,100.0,SoftImpute,KL-Div,7.354034585424547
1.7,100.0,rclr-IterativeSVD,KL-Div,0.0004621633204507422
1.7,100.0,rclr-KNN,KL-Div,0.00047670944934629446
1.7,100.0,rclr-OptSpace,KL-Div,0.006726213850570036
1.7,100.0,rclr-SoftImpute,KL-Div,0.00046721533484391273
1.7,1000.0,IterativeSVD,KL-Div,81.39740245173454
1.7,1000.0,KNN,KL-Div,81.89987505748455
1.7,1000.0,OptSpace,KL-Div,85.60181646319168
1.7,1000.0,SoftImpute,KL-Div,80.97212931853373
1.7,1000.0,rclr-IterativeSVD,KL-Div,0.0003863703055915757
1.7,1000.0,rclr-KNN,KL-Div,0.0005659818133444908
1.7,1000.0,rclr-OptSpace,KL-Div,0.0014784889255803947
1.7,1000.0,rclr-SoftImpute,KL-Div,0.0003494743073244215
1.7,2000.0,IterativeSVD,KL-Div,165.55660549183722
1.7,2000.0,KNN,KL-Div,166.1035563579883
1.7,2000.0,OptSpace,KL-Div,169.27640165616165
1.7,2000.0,SoftImpute,KL-Div,164.39117053768675
1.7,2000.0,rclr-IterativeSVD,KL-Div,0.0003284475026667788
1.7,2000.0,rclr-KNN,KL-Div,0.0005600745849546387
1.7,2000.0,rclr-OptSpace,KL-Div,0.0010299703689529004
1.7,2000.0,rclr-SoftImpute,KL-Div,0.00028232453312958635
1.7,5000.0,IterativeSVD,KL-Div,418.4888082497281
1.7,5000.0,KNN,KL-Div,419.4670553878159
1.7,5000.0,OptSpace,KL-Div,424.5298303084232
1.7,5000.0,SoftImpute,KL-Div,415.66090864504025
1.7,5000.0,rclr-IterativeSVD,KL-Div,0.00025297277091923526
1.7,5000.0,rclr-KNN,KL-Div,0.0005385864695585602
1.7,5000.0,rclr-OptSpace,KL-Div,0.00020387338798322845
1.7,5000.0,rclr-SoftImpute,KL-Div,0.00020227160935044246
1.7,10000.0,IterativeSVD,KL-Div,841.2545735977177
1.7,10000.0,KNN,KL-Div,842.1185009536423
1.7,10000.0,OptSpace,KL-Div,853.5684117496951
1.7,10000.0,SoftImpute,KL-Div,835.0811410510169
1.7,10000.0,rclr-IterativeSVD,KL-Div,0.00021186003632568608
1.7,10000.0,rclr-KNN,KL-Div,0.0005021626684372445
1.7,10000.0,rclr-OptSpace,KL-Div,0.00013756444165664714
1.7,10000.0,rclr-SoftImpute,KL-Div,0.00016532658957588045
2.0,100.0,IterativeSVD,KL-Div,6.4324964382698155
2.0,100.0,KNN,KL-Div,6.4461081550656525
2.0,100.0,OptSpace,KL-Div,8.904564934355841
2.0,100.0,SoftImpute,KL-Div,6.474277086723919
2.0,100.0,rclr-IterativeSVD,KL-Div,0.0002995719305577986
2.0,100.0,rclr-KNN,KL-Div,0.0003084775730347144
2.0,100.0,rclr-OptSpace,KL-Div,0.002014089952717487
2.0,100.0,rclr-SoftImpute,KL-Div,0.0003007847433044555
2.0,1000.0,IterativeSVD,KL-Div,77.87256892071034
2.0,1000.0,KNN,KL-Div,78.22460459919272
2.0,1000.0,OptSpace,KL-Div,80.00148241716076
2.0,1000.0,SoftImpute,KL-Div,77.98186778438634
2.0,1000.0,rclr-IterativeSVD,KL-Div,0.00024313151083667637
2.0,1000.0,rclr-KNN,KL-Div,0.000361595150370222
2.0,1000.0,rclr-OptSpace,KL-Div,0.0005971177657579971
2.0,1000.0,rclr-SoftImpute,KL-Div,0.00022781380923479362
2.0,2000.0,IterativeSVD,KL-Div,159.1975552576139
2.0,2000.0,KNN,KL-Div,159.61522860558233
2.0,2000.0,OptSpace,KL-Div,162.46208259722184
2.0,2000.0,SoftImpute,KL-Div,159.03120706534023
2.0,2000.0,rclr-IterativeSVD,KL-Div,0.00021181270128190093
2.0,2000.0,rclr-KNN,KL-Div,0.00037335253547589716
2.0,2000.0,rclr-OptSpace,KL-Div,0.00028165453381482426
2.0,2000.0,rclr-SoftImpute,KL-Div,0.0001898426676466687
2.0,5000.0,IterativeSVD,KL-Div,404.00932526259334
2.0,5000.0,KNN,KL-Div,404.41343448630295
2.0,5000.0,OptSpace,KL-Div,412.00963132495315
2.0,5000.0,SoftImpute,KL-Div,403.2548885050506
2.0,5000.0,rclr-IterativeSVD,KL-Div,0.00017789588677691044
2.0,5000.0,rclr-KNN,KL-Div,0.00034775282429834817
2.0,5000.0,rclr-OptSpace,KL-Div,0.00015041057121850424
2.0,5000.0,rclr-SoftImpute,KL-Div,0.00015164612167066282
2.0,10000.0,IterativeSVD,KL-Div,812.4799141755494
2.0,10000.0,KNN,KL-Div,812.665568020859
2.0,10000.0,OptSpace,KL-Div,829.0696095720157
2.0,10000.0,SoftImpute,KL-Div,810.849640064132
2.0,10000.0,rclr-IterativeSVD,KL-Div,0.00015787811168677714
2.0,10000.0,rclr-KNN,KL-Div,0.00029887192555072545
2.0,10000.0,rclr-OptSpace,KL-Div,0.0001107510929606484
2.0,10000.0,rclr-SoftImpute,KL-Div,0.0001366651885933994
