,,,Bray_Curtis,GUniFrac_Alpha_Half,GUniFrac_Alpha_One,GUniFrac_Alpha_Zero,Jaccard,Robust_Aitchison
1,30,R_sq_test,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0
1,70,R_sq_test,1.0,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,0.8571428571428571
1,110,R_sq_test,1.0,1.0,1.0,1.0,1.0,1.0
1,150,R_sq_test,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667
1,158,R_sq_test,0.96875,1.0,0.96875,1.0,1.0,0.96875
1,248,R_sq_test,0.975609756097561,0.926829268292683,0.926829268292683,0.9512195121951219,0.9512195121951219,0.9512195121951219
2,30,R_sq_test,1.0,1.0,1.0,1.0,1.0,1.0
2,70,R_sq_test,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8571428571428571,1.0,0.8571428571428571
2,110,R_sq_test,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
2,150,R_sq_test,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,158,R_sq_test,0.96875,0.90625,0.9375,0.96875,1.0,0.96875
2,248,R_sq_test,0.975609756097561,0.926829268292683,0.9024390243902439,0.9512195121951219,0.9512195121951219,0.9512195121951219
3,30,R_sq_test,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
3,70,R_sq_test,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571
3,110,R_sq_test,0.9090909090909091,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909091,0.9545454545454546
3,150,R_sq_test,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667
3,158,R_sq_test,0.96875,0.96875,0.96875,0.96875,1.0,0.96875
3,248,R_sq_test,0.975609756097561,0.926829268292683,0.9024390243902439,0.9512195121951219,0.9512195121951219,0.9512195121951219
4,30,R_sq_test,1.0,1.0,1.0,1.0,1.0,1.0
4,70,R_sq_test,1.0,1.0,1.0,1.0,0.8571428571428571,0.9285714285714286
4,110,R_sq_test,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
4,150,R_sq_test,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667
4,158,R_sq_test,0.96875,0.96875,0.9375,1.0,1.0,0.96875
4,248,R_sq_test,0.975609756097561,0.926829268292683,0.9024390243902439,0.9512195121951219,0.9512195121951219,0.9512195121951219
5,30,R_sq_test,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334
5,70,R_sq_test,1.0,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9285714285714286
5,110,R_sq_test,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,0.8636363636363636
5,150,R_sq_test,0.9,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
5,158,R_sq_test,0.96875,0.96875,0.9375,1.0,1.0,0.9375
5,248,R_sq_test,0.975609756097561,0.926829268292683,0.926829268292683,0.9512195121951219,0.9512195121951219,0.9512195121951219
6,30,R_sq_test,1.0,1.0,1.0,1.0,1.0,1.0
6,70,R_sq_test,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
6,110,R_sq_test,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0
6,150,R_sq_test,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,1.0,1.0
6,158,R_sq_test,0.96875,0.96875,0.96875,1.0,1.0,1.0
6,248,R_sq_test,0.975609756097561,0.9512195121951219,0.926829268292683,0.926829268292683,0.9512195121951219,0.9512195121951219
7,30,R_sq_test,1.0,1.0,1.0,1.0,1.0,1.0
7,70,R_sq_test,1.0,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286
7,110,R_sq_test,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,1.0
7,150,R_sq_test,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9666666666666667
7,158,R_sq_test,0.96875,1.0,1.0,1.0,1.0,1.0
7,248,R_sq_test,0.975609756097561,0.926829268292683,0.926829268292683,0.9512195121951219,0.975609756097561,0.9512195121951219
8,30,R_sq_test,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666
8,70,R_sq_test,1.0,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0
8,110,R_sq_test,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0
8,150,R_sq_test,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
8,158,R_sq_test,0.96875,0.96875,1.0,0.96875,0.96875,0.90625
8,248,R_sq_test,0.975609756097561,0.9512195121951219,0.926829268292683,0.9512195121951219,0.975609756097561,0.9512195121951219
9,30,R_sq_test,0.8333333333333334,1.0,1.0,1.0,1.0,0.8333333333333334
9,70,R_sq_test,0.9285714285714286,0.9285714285714286,0.8571428571428571,1.0,0.9285714285714286,0.8571428571428571
9,110,R_sq_test,1.0,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546
9,150,R_sq_test,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333
